session_id,user_id,session_date,session_start,session_end,session_duration_minutes,pages_visited,source_channel,day_type,day_of_week,is_weekend,hour
S0000001,U00001,2023-04-09,2023-04-09 17:08:00,2023-04-09 17:11:00,3,1,Referral,Weekend,Sunday,1,17
S0000002,U00001,2023-05-31,2023-05-31 13:24:00,2023-05-31 13:25:00,1,11,Referral,Weekday,Wednesday,0,13
S0000003,U00001,2023-05-02,2023-05-02 03:04:00,2023-05-02 03:22:00,18,7,Paid,Weekday,Tuesday,0,3
S0000004,U00001,2023-03-17,2023-03-17 04:30:00,2023-03-17 04:31:00,1,18,Referral,Weekday,Friday,0,4
S0000005,U00001,2023-03-05,2023-03-05 18:42:00,2023-03-05 19:17:00,35,2,Referral,Weekend,Sunday,1,18
S0000006,U00001,2023-04-23,2023-04-23 23:49:00,2023-04-23 23:53:00,4,2,Referral,Weekend,Sunday,1,23
S0000007,U00001,2023-03-24,2023-03-24 16:39:00,2023-03-24 16:46:00,7,4,Referral,Weekday,Friday,0,16
S0000008,U00001,2023-05-16,2023-05-16 17:53:00,2023-05-16 18:04:00,11,2,Paid,Weekday,Tuesday,0,17
S0000009,U00001,2023-04-09,2023-04-09 23:22:00,2023-04-09 23:40:00,18,1,Referral,Weekend,Sunday,1,23
S0000010,U00001,2023-04-20,2023-04-20 14:27:00,2023-04-20 14:33:00,6,3,Paid,Weekday,Thursday,0,14
S0000011,U00001,2023-05-14,2023-05-14 22:22:00,2023-05-14 22:34:00,12,8,Paid,Weekend,Sunday,1,22
S0000012,U00001,2023-05-16,2023-05-16 15:05:00,2023-05-16 15:09:00,4,4,Organic,Weekday,Tuesday,0,15
S0000013,U00001,2023-03-24,2023-03-24 23:23:00,2023-03-24 23:40:00,17,1,Organic,Weekday,Friday,0,23
S0000014,U00001,2023-03-13,2023-03-13 01:51:00,2023-03-13 02:09:00,18,1,Organic,Weekday,Monday,0,1
S0000015,U00001,2023-06-18,2023-06-18 09:49:00,2023-06-18 09:50:00,1,15,Organic,Weekend,Sunday,1,9
S0000016,U00001,2023-04-07,2023-04-07 15:21:00,2023-04-07 16:28:00,67,9,Referral,Weekday,Friday,0,15
S0000017,U00001,2023-05-06,2023-05-06 07:13:00,2023-05-06 07:20:00,7,1,Paid,Weekend,Saturday,1,7
S0000018,U00001,2023-05-08,2023-05-08 16:29:00,2023-05-08 16:52:00,23,3,Referral,Weekday,Monday,0,16
S0000019,U00002,2023-08-18,2023-08-18 22:48:00,2023-08-18 22:49:00,1,13,Referral,Weekday,Friday,0,22
S0000020,U00002,2023-07-27,2023-07-27 01:29:00,2023-07-27 01:34:00,5,6,Organic,Weekday,Thursday,0,1
S0000021,U00002,2023-08-30,2023-08-30 23:46:00,2023-08-30 23:53:00,7,4,Referral,Weekday,Wednesday,0,23
S0000022,U00002,2023-09-18,2023-09-18 00:17:00,2023-09-18 00:32:00,15,2,Referral,Weekday,Monday,0,0
S0000023,U00002,2023-09-07,2023-09-07 22:31:00,2023-09-07 23:40:00,69,8,Paid,Weekday,Thursday,0,22
S0000024,U00002,2023-09-09,2023-09-09 22:09:00,2023-09-09 23:05:00,56,12,Referral,Weekend,Saturday,1,22
S0000025,U00002,2023-08-19,2023-08-19 03:23:00,2023-08-19 03:41:00,18,13,Referral,Weekend,Saturday,1,3
S0000026,U00002,2023-07-28,2023-07-28 03:00:00,2023-07-28 03:01:00,1,2,Paid,Weekday,Friday,0,3
S0000027,U00002,2023-07-31,2023-07-31 00:44:00,2023-07-31 00:45:00,1,2,Paid,Weekday,Monday,0,0
S0000028,U00002,2023-07-02,2023-07-02 16:43:00,2023-07-02 16:52:00,9,2,Paid,Weekend,Sunday,1,16
S0000029,U00003,2023-06-08,2023-06-08 12:00:00,2023-06-08 12:06:00,6,4,Referral,Weekday,Thursday,0,12
S0000030,U00003,2023-04-17,2023-04-17 02:06:00,2023-04-17 02:09:00,3,9,Organic,Weekday,Monday,0,2
S0000031,U00003,2023-07-11,2023-07-11 18:56:00,2023-07-11 18:57:00,1,22,Paid,Weekday,Tuesday,0,18
S0000032,U00003,2023-07-05,2023-07-05 13:24:00,2023-07-05 13:53:00,29,2,Paid,Weekday,Wednesday,0,13
S0000033,U00003,2023-05-18,2023-05-18 23:08:00,2023-05-18 23:09:00,1,9,Organic,Weekday,Thursday,0,23
S0000034,U00003,2023-05-05,2023-05-05 08:12:00,2023-05-05 08:36:00,24,7,Paid,Weekday,Friday,0,8
