user_id,signup_month,last_active_date,last_active_missing,total_sessions,active_months,has_sessions,churned,churn_date,customer_lifetime_days
U00001,2023-02-01,2023-06-18 09:49:00,0,18,4,1,1,2023-05-03,137
U00002,2023-05-01,2023-09-18 00:17:00,0,10,3,1,0,,140
U00003,2023-03-01,2023-07-11 18:56:00,0,19,5,1,0,,132
U00004,2023-10-01,2024-02-02 09:12:00,0,13,5,1,1,2024-01-21,124
U00005,2023-08-01,2023-12-03 23:45:00,0,13,5,1,1,2023-10-08,124
U00006,2023-02-01,2023-06-04 18:47:00,0,11,4,1,1,2023-03-31,123
U00007,2023-09-01,2024-01-12 22:57:00,0,15,5,1,0,,133
U00008,2023-10-01,2024-02-10 16:30:00,0,17,5,1,0,,132
U00009,2023-10-01,2024-01-25 21:03:00,0,22,4,1,0,,116
U00010,2023-08-01,2023-12-05 10:02:00,0,15,5,1,0,,126
U00011,2023-01-01,2023-04-24 09:37:00,0,6,4,1,0,,113
U00012,2023-08-01,2023-11-27 23:44:00,0,13,4,1,0,,118
U00013,2023-03-01,2023-07-15 20:11:00,0,20,5,1,0,,136
U00014,2023-02-01,2023-06-20 09:26:00,0,16,4,1,0,,139
U00015,2023-02-01,2023-05-21 08:50:00,0,8,3,1,0,,109
U00016,2023-05-01,2023-08-31 15:41:00,0,8,3,1,0,,122
U00017,2023-08-01,2023-12-04 06:55:00,0,15,5,1,0,,125
U00018,2023-07-01,2023-11-03 09:41:00,0,13,5,1,1,2023-08-28,125
U00019,2023-05-01,2023-09-22 07:31:00,0,10,4,1,0,,144
U00020,2023-10-01,2024-02-14 20:11:00,0,15,5,1,0,,136
U00021,2023-02-01,2023-05-27 23:59:00,0,15,4,1,0,,115
U00022,2023-04-01,2023-08-23 05:29:00,0,16,5,1,0,,144
U00023,2023-04-01,2023-08-28 19:34:00,0,19,4,1,0,,149
U00024,2023-05-01,2023-09-14 14:28:00,0,23,5,1,0,,136
U00025,2023-07-01,2023-10-30 08:38:00,0,13,4,1,0,,121
U00026,2023-07-01,2023-10-26 17:12:00,0,22,4,1,1,2023-08-02,117
U00027,2023-05-01,2023-08-23 16:48:00,0,10,4,1,0,,114
U00028,2023-03-01,2023-07-19 04:03:00,0,10,4,1,0,,140
U00029,2023-05-01,2023-07-03 22:27:00,0,9,3,1,0,,63
U00030,2023-07-01,2023-10-29 18:17:00,0,12,3,1,0,,120
U00031,2023-10-01,2024-02-09 19:19:00,0,11,4,1,1,2024-01-06,131
U00032,2023-06-01,2023-10-14 04:47:00,0,11,4,1,0,,135
U00033,2023-01-01,2023-05-09 03:25:00,0,9,4,1,0,,128
U00034,2023-05-01,2023-09-15 19:28:00,0,20,5,1,1,2023-07-01,137
U00035,2023-10-01,2024-02-15 22:53:00,0,20,5,1,0,,137
U00036,2023-09-01,2024-01-07 19:25:00,0,16,4,1,1,2023-10-03,128
U00037,2023-08-01,2023-12-13 10:09:00,0,17,4,1,0,,134
U00038,2023-03-01,2023-07-02 22:59:00,0,19,5,1,0,,123
U00039,2023-10-01,2024-02-08 23:22:00,0,17,5,1,0,,130
U00040,2023-10-01,2024-02-19 18:00:00,0,25,5,1,0,,141
U00041,2023-07-01,2023-11-20 16:42:00,0,16,5,1,0,,142
U00042,2023-03-01,2023-07-09 10:24:00,0,11,5,1,0,,130
U00043,2023-02-01,2023-06-11 13:29:00,0,20,4,1,0,,130
U00044,2023-03-01,2023-07-06 21:42:00,0,10,5,1,0,,127
U00045,2023-08-01,2023-11-05 18:59:00,0,5,3,1,0,,96
U00046,2023-07-01,2023-11-11 12:12:00,0,13,5,1,0,,133
U00047,2023-08-01,2023-12-23 14:20:00,0,14,4,1,0,,144
U00048,2023-10-01,2024-01-27 13:01:00,0,12,4,1,0,,118
U00049,2023-02-01,2023-06-23 19:33:00,0,13,4,1,0,,142
U00050,2023-06-01,2023-10-21 07:10:00,0,24,4,1,0,,142
U00051,2023-08-01,2023-12-07 07:46:00,0,11,5,1,1,2023-09-24,128
U00052,2023-01-01,2023-04-08 15:59:00,0,9,4,1,0,,97
U00053,2023-04-01,2023-07-29 04:44:00,0,17,4,1,1,2023-06-17,119
U00054,2023-06-01,2023-09-22 21:26:00,0,22,4,1,1,2023-08-22,113
U00055,2023-04-01,2023-07-23 22:40:00,0,14,4,1,0,,113
U00056,2023-03-01,2023-07-18 19:58:00,0,10,5,1,0,,139
U00057,2023-01-01,2023-04-27 22:41:00,0,16,4,1,0,,116
U00058,2023-09-01,2023-12-29 14:26:00,0,16,4,1,0,,119
U00059,2023-07-01,2023-10-24 21:43:00,0,17,4,1,0,,115
U00060,2023-01-01,2023-05-21 16:13:00,0,16,4,1,1,2023-05-25,140
U00061,2023-02-01,2023-06-09 19:39:00,0,17,5,1,0,,128
U00062,2023-09-01,2024-01-03 07:40:00,0,15,5,1,0,,124
U00063,2023-03-01,2023-06-30 17:23:00,0,7,4,1,0,,121
U00064,2023-09-01,2023-12-26 18:20:00,0,15,4,1,0,,116
U00065,2023-05-01,2023-09-13 23:42:00,0,8,4,1,0,,135
U00066,2023-08-01,2023-11-13 18:08:00,0,10,4,1,1,2023-10-13,104
U00067,2023-04-01,2023-08-03 07:48:00,0,11,5,1,0,,124
U00068,2023-07-01,2023-11-06 21:56:00,0,13,5,1,1,2023-11-06,128
U00069,2023-08-01,2023-11-30 23:16:00,0,12,4,1,0,,121
U00070,2023-04-01,2023-08-24 11:58:00,0,12,4,1,0,,145
U00071,2023-01-01,2023-05-09 03:22:00,0,13,5,1,0,,128
U00072,2023-04-01,2023-08-15 07:31:00,0,16,4,1,0,,136
U00073,2023-01-01,2023-04-01 20:44:00,0,9,4,1,0,,90
U00074,2023-01-01,2023-05-25 01:28:00,0,16,4,1,0,,144
U00075,2023-01-01,2023-04-29 22:19:00,0,19,4,1,0,,118
U00076,2023-09-01,2023-12-21 08:48:00,0,10,4,1,0,,111
U00077,2023-09-01,2023-12-16 13:02:00,0,17,4,1,0,,106
U00078,2023-03-01,2023-07-06 10:05:00,0,13,5,1,1,2023-05-05,127
U00079,2023-08-01,2023-12-26 23:13:00,0,14,3,1,0,,147
U00080,2023-07-01,2023-11-01 10:08:00,0,15,4,1,0,,123
U00081,2023-02-01,2023-06-19 12:47:00,0,17,5,1,0,,138
U00082,2023-08-01,2023-11-30 08:52:00,0,15,4,1,0,,121
U00083,2023-01-01,2023-05-26 04:09:00,0,12,4,1,0,,145
U00084,2023-07-01,2023-10-27 23:36:00,0,13,3,1,0,,118
U00085,2023-05-01,2023-08-08 10:16:00,0,18,4,1,0,,99
U00086,2023-10-01,2024-01-29 23:29:00,0,11,4,1,0,,120
